geometry,icon,id,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity
"{'location': {'lat': 40.7680526, 'lng': -73.9711028}, 'viewport': {'northeast': {'lat': 40.76926682989272, 'lng': -73.96943037010728}, 'southwest': {'lat': 40.76656717010727, 'lng': -73.97213002989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,fcba205c437d85b377c5d30fee0d13e297f60e86,Delacorte Clock,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118245693599928464893/photos"">Nuno Matos</a>'], 'photo_reference': 'CmRaAAAA0Z5z74zHhan7_vSYOlH7oY7wA_ipAMP1Y4oacdA3Ec7WE1C8uuf-3Tq84iCBr2CLSKNtKpYAz8_cQNGaMdSI8lwJMVpbjixowbgoFm1cBDJTzHg-nrrYy-Jij8LWYeizEhBWhTk-enNMJ7yiW-xrBeuoGhQdfwvjKOxORWO6PNAAsp1rnFAc9Q', 'width': 2304}]",ChIJr5cyAO5YwokRizcKbWOo49M,"{'compound_code': 'Q29H+6H New York, USA', 'global_code': '87G8Q29H+6H'}",4.5,ChIJr5cyAO5YwokRizcKbWOo49M,GOOGLE,"['point_of_interest', 'establishment']",38,"East 65th Street and, 5th Ave, New York"
"{'location': {'lat': 40.7742292, 'lng': -73.96712959999999}, 'viewport': {'northeast': {'lat': 40.77557902989272, 'lng': -73.96577977010726}, 'southwest': {'lat': 40.77287937010728, 'lng': -73.96847942989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,33487e9c6c4d7e80dcea6e2e183e8f2d1c6079f6,Conservatory Water,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105665787954770473235/photos"">Marce Villarreal</a>'], 'photo_reference': 'CmRaAAAAUiN9HMHH-vGPjccTtN_3_4wJi0EHs74EmxB7vmgXOyp9-YgsleUbdWp0yE426o5LSzEtq5oxOur4lgF_7VQtL-YXcwkoKazPS3nme-vOZorG5pOhZpUS_fl8EtY2OzAXEhAB7WRkjFoCdbsom2C6-9SZGhTyH2g4tI9U2SaNN7hknaMmxLJnOA', 'width': 4512}]",ChIJzVmDbJNYwokR1_bKExR7BoY,"{'compound_code': 'Q2FM+M4 New York, USA', 'global_code': '87G8Q2FM+M4'}",4.5,ChIJzVmDbJNYwokR1_bKExR7BoY,GOOGLE,"['point_of_interest', 'establishment']",93,"E 72nd St, New York"
"{'location': {'lat': 40.75249609999999, 'lng': -73.9773022}, 'viewport': {'northeast': {'lat': 40.75364652989272, 'lng': -73.97609137010727}, 'southwest': {'lat': 40.75094687010727, 'lng': -73.97879102989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,558f1c85845cf501d150da6251c816fdf675bb44,Whispering Gallery in Grand Central Terminal,{},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111712664993014399694/photos"">analisa gonzalez</a>'], 'photo_reference': 'CmRaAAAAa7dcWR4wRj7RuLaKsGBSEDylFlMVoNX5ZXWs7m-lnGbFABGaY7JQty7u0_NboW8wjdFRe-94qXicjqm3HibsWgBiOsNODWdqITIKWkRhC9cjrSgUQXQQQFY1IahZqkA2EhB7yIHlPWYxdJyqbHpgq5RgGhSrgHwR_G8Uj1hne5KPdcYqI1UgFQ', 'width': 4032}]",ChIJ75FhiAFZwokRgGYRKvPP_xU,"{'compound_code': 'Q22F+X3 New York, USA', 'global_code': '87G8Q22F+X3'}",4.7,ChIJ75FhiAFZwokRgGYRKvPP_xU,GOOGLE,"['point_of_interest', 'establishment']",54,"89 E 42nd St, New York"
"{'location': {'lat': 41.0442212, 'lng': -73.5088636}, 'viewport': {'northeast': {'lat': 41.04544802989273, 'lng': -73.50755232010728}, 'southwest': {'lat': 41.04274837010728, 'lng': -73.51025197989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,0e685f46efccddd24f00d5876754c0b0914dd217,House of Lights,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106592354324912442768/photos"">shirish madharia</a>'], 'photo_reference': 'CmRZAAAABoOkjMICXIugvCsioKKa-KHoG5NcZSSO3h46-FN5m1Pi3NA7P_SL2mICCFiJ-MlQGeUutuzir9eIKEbisWoDcnEVwL7NpgpG-vdsJuYYLqTxOuM1oCg0M38J4839NsmTEhD2UJNpeR7LyA5hOgQnL3jdGhQp8AcDDG7rAIfCQomSA7D1wIMOyQ', 'width': 4032}]",ChIJb3RqryugwokRXQLYVpO0Wr0,"{'compound_code': '2FVR+MF Stamford, Connecticut, USA', 'global_code': '87H82FVR+MF'}",5,ChIJb3RqryugwokRXQLYVpO0Wr0,GOOGLE,"['point_of_interest', 'establishment']",29,"68 Lewelyn Rd, Stamford"
"{'location': {'lat': 40.7699742, 'lng': -73.9710197}, 'viewport': {'northeast': {'lat': 40.77101497989272, 'lng': -73.9684823}, 'southwest': {'lat': 40.76831532010728, 'lng': -73.97265909999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,6031bc359eca727d317a530a3c9ba8f1a31dd264,Balto Statue,{},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109218826579409685605/photos"">Ali Mohammadkhan</a>'], 'photo_reference': 'CmRaAAAAph7TzaEAb9zsBApzmJoSDW0QebKWk15Lhuvrg_TxD8hv5Zm6a8KQdReI13YF3iwpsNL-Ss6lsvqVtQYpSnLF5P1C5m2khSKkz_IFYda3Edo8tFJSKW0ef24nVR1XliuREhB2HMU4JLyqQhVMibGQ2kamGhTVLr3BHfhyP5O-UERFbE7yw_iGjA', 'width': 4032}]",ChIJU0MHie1YwokReOT8XBMbxzU,"{'compound_code': 'Q29H+XH New York, USA', 'global_code': '87G8Q29H+XH'}",4.7,ChIJU0MHie1YwokReOT8XBMbxzU,GOOGLE,"['point_of_interest', 'establishment']",851,"East Dr, New York"
"{'location': {'lat': 40.7074854, 'lng': -73.9984612}, 'viewport': {'northeast': {'lat': 40.70883522989271, 'lng': -73.99711137010728}, 'southwest': {'lat': 40.70613557010726, 'lng': -73.99981102989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,e1c99e9f9b3b605f44b24daba775caa52f0d3b0d,The Brooklyn Bridge and Dumbo Neighborhood Tour,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100591291037481112626/photos"">Wanyu Jhuang</a>'], 'photo_reference': 'CmRaAAAAxa0qd81kS3Z3-VjcPPhH6KCc6SI6hJUZ1JLHYyvUl1UvFT8nsZz2-nXZ5xAqet60urT1Bg0P2kt3zdXYNW_Zs6uXXCyPoxF5v2sr8OG0paAdab2khNxB78XM-9hQRxIcEhCRQehuyuiEjzMf5nYCiQAtGhSOEkQOu4KEstFWu3Ozm2WTBfje0A', 'width': 4032}]",ChIJj1KlGyJawokRv1o0LcLJmR0,"{'compound_code': 'P242+XJ Manhattan, New York, NY, USA', 'global_code': '87G8P242+XJ'}",4.5,ChIJj1KlGyJawokRv1o0LcLJmR0,GOOGLE,"['point_of_interest', 'establishment']",77,"52 Brooklyn Bridge, New York"
"{'location': {'lat': 40.7299053, 'lng': -73.9910201}, 'viewport': {'northeast': {'lat': 40.73129177989272, 'lng': -73.98963892010728}, 'southwest': {'lat': 40.72859212010728, 'lng': -73.99233857989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,c3f82aeb5665ca3aee6997526efc6606efd3e0ba,Alamo / Astor Place Cube,{'open_now': True},"[{'height': 3216, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106402228076189289634/photos"">horacio esteban horvath areco</a>'], 'photo_reference': 'CmRaAAAAmYLHt4UGkdbkjn-OyK7n5Eiy69mgZcWHMfFSvRtFKCLb4nVjgQQGtUrBK-TjSaEdOwPn6dJpHO21F4lGewap8sUo5v37PQUnr08q8oTryIUjq5M-b9iXhf-spV-arBQ6EhDao660tJdrBFdESPUVZjk4GhSd2wZuxVGUEAeiMFq8uZEQ6AyGBQ', 'width': 4288}]",ChIJy_huuptZwokRX0HGsxJ31ZQ,"{'compound_code': 'P2H5+XH New York, USA', 'global_code': '87G8P2H5+XH'}",4.4,ChIJy_huuptZwokRX0HGsxJ31ZQ,GOOGLE,"['point_of_interest', 'establishment']",54,"149-179 E 8th St, New York"
"{'location': {'lat': 40.7945748, 'lng': -73.9598815}, 'viewport': {'northeast': {'lat': 40.79580912989272, 'lng': -73.95826477010728}, 'southwest': {'lat': 40.79310947010728, 'lng': -73.96096442989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,6a7928b88cfdce06afd4840c4c63025dcacc8887,The Pool,,"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113815392849087130851/photos"">Gomer Aquino</a>'], 'photo_reference': 'CmRaAAAApYn1hti8iQCUEu4jTaXUBnFFTC-LasyQORV4R0M1anHcumyo8pAPpjUhvKnQFCG-Ed-8Gw0CB585slHojBNAjbyNbnKxZP1l6kEIQm-EZuLJhWMzqQLEZxfAqHBwQC9bEhDs5ltwi0HmSp9Zx28p2ghGGhQMieGLc_17TJR21rI4clUey83qHQ', 'width': 1024}]",ChIJaQOtZIX3wokRHvYVsTxlg9o,"{'compound_code': 'Q2VR+R2 New York, USA', 'global_code': '87G8Q2VR+R2'}",4.7,ChIJaQOtZIX3wokRHvYVsTxlg9o,GOOGLE,"['point_of_interest', 'establishment']",31,"West Dr. &, 102nd St Crossing, New York"
"{'location': {'lat': 40.9892658, 'lng': -73.9066342}, 'viewport': {'northeast': {'lat': 40.99051392989272, 'lng': -73.90533357010727}, 'southwest': {'lat': 40.98781427010728, 'lng': -73.90803322989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,2094f38e07a4aee071dedd4bc33e7ae3c8f89cf4,Palisades Interstate Park Commission: State Line Lookout,{'open_now': False},"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101628637194494578863/photos"">Ned Persons</a>'], 'photo_reference': 'CmRaAAAA89pnvbbOIjzf4ABSgNRPTz5rHkliURgtYc26y-tso8aenZImZafmdEw1zf4f72v1Sj7iWBmG2MRf4uUgUtBltcDcKKOpgPZA7KhcxQDr3hK1_khghTZZxg0dTtrXkiQpEhBekOpGRelTGHCQpNZwNJnqGhR1EV71xyT0MagSJ2vND5JROXqsBg', 'width': 4000}]",ChIJE_OizkjswokRDRPvG9pmwfU,"{'compound_code': 'X3QV+P8 Alpine, New Jersey, USA', 'global_code': '87G8X3QV+P8'}",4.7,ChIJE_OizkjswokRDRPvG9pmwfU,GOOGLE,"['park', 'point_of_interest', 'establishment']",383,"State Line Lookout and, Palisades Interstate Pkwy, Alpine"
"{'location': {'lat': 40.7133444, 'lng': -74.0133677}, 'viewport': {'northeast': {'lat': 40.71436417989273, 'lng': -74.01215482010727}, 'southwest': {'lat': 40.71166452010728, 'lng': -74.0148544798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,48cd459142d91a750ab1ac00141e799d2a7c1bfb,One World Observatory,{'open_now': True},"[{'height': 1344, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105303505373661530610/photos"">Hauser Quaid Zzyzx</a>'], 'photo_reference': 'CmRaAAAAVmyx5WYeKNVrD1HVp3knt9Bsfo_2QHgPAh3uk7n1IPdXcq7JkltoLbGyW2vZAxf_U8g-TdfvlTggPLBihDnlQgeGt-2c4NAr22jUdX4WB62HG2RGqNvaU5XzihMpJNKeEhDaQZ7BJqx8h68lBvL3C0yXGhQEfHPokbUxctA50ovsE4YwAtG8Ww', 'width': 2000}]",ChIJTWE_0BtawokRVJNGH5RS448,"{'compound_code': 'PX7P+8M New York, USA', 'global_code': '87G7PX7P+8M'}",4.6,ChIJTWE_0BtawokRVJNGH5RS448,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",5906,"285 Fulton St, New York"
"{'location': {'lat': 34.1396789, 'lng': -117.8613603}, 'viewport': {'northeast': {'lat': 34.14105712989272, 'lng': -117.8600100201073}, 'southwest': {'lat': 34.13835747010727, 'lng': -117.8627096798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3984af2524d5ecf1dfd756737c9089b1482c2687,Glendora Bougainvillea,,"[{'height': 1933, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100484191363538571735/photos"">Craig B</a>'], 'photo_reference': 'CmRaAAAAr82fZ8-TmnDAHZiHuhOaU5Yz8sXjmSogHZmtwxs5nxtNu0x-KQNAk3xDcZ69QkuBA5nRcC5P4eGMnUvQiAKCd5PbUExbyhmll3Zl192OWHThGaJ-x1JkmpnWL9GoyCZnEhAJ2hewgWxrVMSma3JUWt_mGhSnQW6_PtRl2KTFPs8U6r6Rw1LgfQ', 'width': 2752}]",ChIJSWWn2Tgmw4ARDYPbsurTXlM,"{'compound_code': '44QQ+VF Glendora, California, USA', 'global_code': '856444QQ+VF'}",4,ChIJSWWn2Tgmw4ARDYPbsurTXlM,GOOGLE,"['point_of_interest', 'establishment']",2,"E Bennett Ave, Glendora"
"{'location': {'lat': 34.1503218, 'lng': -117.8545866}, 'viewport': {'northeast': {'lat': 34.15152787989272, 'lng': -117.8534064201073}, 'southwest': {'lat': 34.14882822010728, 'lng': -117.8561060798928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,27684729ef3f679c40bea32d9cc8479b05d56a80,Rubel Castle,{},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106078913768231376630/photos"">Alex Hluch</a>'], 'photo_reference': 'CmRaAAAAA1qd3-7-9rmT39yVBQG5GD9LwB3FkWOPdTaf1JGwKvoIFqmGzbllopO6ZSlEg0noROGFn5H81H95WCgjve6dXciRgfVyszdX9BFiSRIqqy8hWOXRjKJ9IGRXRziF2bnYEhA7_PDp41Reb1TsTpr593NUGhSMtjAEbjR69PjIjH9XRvEkvUQCTg', 'width': 4048}]",ChIJZ6eAdUImw4ARhSH_R6E9k6U,"{'compound_code': '542W+45 Glendora, California, USA', 'global_code': '8564542W+45'}",4.7,ChIJZ6eAdUImw4ARhSH_R6E9k6U,GOOGLE,"['point_of_interest', 'establishment']",68,"844 N Live Oak Ave, Glendora"
"{'location': {'lat': 33.8841508, 'lng': -118.1605285}, 'viewport': {'northeast': {'lat': 33.88554122989272, 'lng': -118.1592193201073}, 'southwest': {'lat': 33.88284157010728, 'lng': -118.1619189798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,267689f677958c6dd32fca9afa0f1be3c2b5d502,Hay Tree,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108471115231916291537/photos"">1ladylenarose</a>'], 'photo_reference': 'CmRaAAAAlqDPyO7W60y-4HEOsrhKUGzyfg58Wlt77luY5KTBtzOCxo6sP3kIkT-B_HkhOLtfr6UDrM91fylu6Avz-mt4a8I7iv-sJONJ4XqZLTfhVcApWXPXsQ6x3xaqfV8jryp4EhCl689KMuBv6ApdKHiC_mx4GhR-AKe0M43MGYzFnKHJyK4IHpCZJA', 'width': 1536}]",ChIJnQb3R9XMwoARar7AzU5o5hk,"{'compound_code': 'VRMQ+MQ Paramount, California, USA', 'global_code': '8553VRMQ+MQ'}",4.2,ChIJnQb3R9XMwoARar7AzU5o5hk,GOOGLE,"['point_of_interest', 'establishment']",6,"Paramount Blvd, Paramount"
